web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1554395284-218","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@nickstratton","Nick Stratton","I've been using this soap for several years now and absolutely love it. 

Smell good. Be nice to your skin. Save 15% http://bit.ly/2HUkojG  #DrSquatch @DrSquatchSoapCo pic.twitter.com/NFgnFeAC33","1","1","1","1553794638000","10:37 AM - 28 Mar 2019","/nickstratton/status/1111321377041059840"
"1554395284-215","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@atheath","Ashley Heath","Watched the 
@DrSquatchSoapCo commercial earlier and it's hilarious! https://www.youtube.com/watch?v=cjEK7qQKRDY … I think we'll have to get some, just because.","","","1","1553811467000","3:17 PM - 28 Mar 2019","/atheath/status/1111391965009059840"
"1554395284-269","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@MikeFalzone","Mike Falzone","Dude, @DrSquatchSoapCo smells SO good. I just got the Gold Moss Scrub and I want to eat it. I want to wash my insides with it. #notsponsored","1","","16","1499461693000","2:08 PM - 7 Jul 2017","/MikeFalzone/status/883432487803772928"
"1554395284-331","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@manemanblog","MANE MAN","From my friends over at @DrSquatchSoapCo https://www.youtube.com/watch?v=zeQMG65qJDg … #lol","","1","1","1401757375000","6:02 PM - 2 Jun 2014","/manemanblog/status/473630876647956481"
"1554395284-268","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@bryce_carey","Bryce Carey","Time to open a new bar! Love, love, LOVE me some @drsquatchsoapco #natural #handmade… https://www.instagram.com/p/BWxoH4MAREt/","1","","2","1500568821000","9:40 AM - 20 Jul 2017","/bryce_carey/status/888076122151305216"
"1554395284-229","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@joshbilicki","Josh Bilicki","Love those race weekend vibes with @DrSquatchSoapCo and @RyanSiegRacing! pic.twitter.com/fPAbKvuLJr","","9","50","1550626225000","5:30 PM - 19 Feb 2019","/joshbilicki/status/1098032091609079808"
"1554395284-211","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@Ishiyda","Toruu","Itzh ya go ol anime boi aye","1","","2","1553970559000","11:29 AM - 30 Mar 2019","/Ishiyda/status/1112059245510316032"
"1554395284-385","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DrSquatchSoapCo","Dr. Squatch","There is a new review on Bay Rum - Thanks Jack Haldrup. https://yotpo.com/go/j5g","","","","1351473556000","6:19 PM - 28 Oct 2012","/DrSquatchSoapCo/status/262725253862682625"
"1554395284-372","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DrSquatchSoapCo","Dr. Squatch","Excited to welcome @fontania1 to the #Sasquatch team. A true sasquatch man. #VPSales #PacNorthwestTakeoverpic.twitter.com/KXZTZZTO","","3","","1361238702000","5:51 PM - 18 Feb 2013","/DrSquatchSoapCo/status/303683242362544128"
"1554395284-328","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@ribbedtee","ribbedtee","@SMatthew74 Thanks for the mention in your Father's Day Gift Guide! In great company with @GrillGrate @DrSquatchSoapCo @American_Giant","","","2","1402347939000","2:05 PM - 9 Jun 2014","/ribbedtee/status/476107884070060032"
"1554395284-308","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DapperAndDone","Dapper & Done","Bar soap with natural ingredients? Absolutely. Learn about @drsquatchsoapco:  http://ow.ly/MKNXN","","1","2","1431973522000","11:25 AM - 18 May 2015","/DapperAndDone/status/600366585354694656"
"1554395284-383","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DrSquatchSoapCo","Dr. Squatch","Talk about a great job.  Getting paid to find bigfoot - http://brev.is/9g14   What are you searching for?","","","","1353980614000","5:43 PM - 26 Nov 2012","/DrSquatchSoapCo/status/273240619344855040"
"1554395284-336","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@TitleBeard","TitleBeard","Sponsor banner for #BluegrassBeardOn @TheModCabin @GrandpaBrandsCo @HonestAmish_com @CanYouHandlebar @DrSquatchSoapCo pic.twitter.com/VlcVKdLCDg","","2","4","1400637549000","6:59 PM - 20 May 2014","/TitleBeard/status/468933985138388992"
"1554395284-389","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DrSquatchSoapCo","Dr. Squatch","Breaking Ground","","","","1341197331000","7:48 PM - 1 Jul 2012","/DrSquatchSoapCo/status/219623641254592512"
"1554395284-259","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@CameronsBrewing","Camerons Brewing Co.","Beer soap has been popping up all over the place lately but it's not just a novelty! Learn the benefits of beer soap from @DrSquatchSoapCo  at the link below. http://blog.drsquatch.com/the-wonderful-world-of-beer-soap/ …pic.twitter.com/7PBPvO0fbW","1","","4","1519585246000","11:00 AM - 25 Feb 2018","/CameronsBrewing/status/967836789300965377"
"1554395284-332","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DrSquatchSoapCo","Dr. Squatch","@cmartrocks @dirtyenergy @ChickenPoopMe Shakey Graves, Allen Stone, Alex Winston https://www.youtube.com/watch?v=nokvHRjpRK4&index=18&list=PL4B311C05B47CFB95 …","","1","2","1401488273000","3:17 PM - 30 May 2014","/DrSquatchSoapCo/status/472502183259156482"
"1554395284-343","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DrSquatchSoapCo","Dr. Squatch","Some people feel the rain, others just get wet. -Bob Marley","","","1","1391009841000","7:37 AM - 29 Jan 2014","/DrSquatchSoapCo/status/428552453303193600"
"1554395284-314","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@TheresaLA","Theresa B","Sooo @DrSquatchSoapCo is the best soap for men !!! @cmartrocks #backstageartistlounge","","2","3","1414103305000","3:28 PM - 23 Oct 2014","/TheresaLA/status/525413461334196224"
"1554395284-344","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DrSquatchSoapCo","Dr. Squatch","Spent the past two days with an amazing group of guys building a home for this amazing young family… http://instagram.com/p/jqETFCoQm4/","1","","","1390793489000","7:31 PM - 26 Jan 2014","/DrSquatchSoapCo/status/427645006443479040"
"1554395284-220","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@tjbierschbach","Trever Bierschbach (Beard Wizard Man)","Can confirm, @DrSquatchSoapCo soap is good stuff. Not sure if I'm sold on the pine tar scent but that may get better. Soap itself is great, even in hard water my skin doesn't feel like it shrunk two sizes.","","","","1553730214000","4:43 PM - 27 Mar 2019","/tjbierschbach/status/1111051165372956674"
"1554395284-265","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@JosiahBoydJJ","Josiah Boyd","Quick sesh after the fight tonight! About to go clean up with the best @drsquatchsoapco!!! #nogi… https://www.instagram.com/p/BYSemUOBKne/","","","2","1503818607000","12:23 AM - 27 Aug 2017","/JosiahBoydJJ/status/901706712809340928"
"1554395284-280","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@GCMagazine","Ground Control Mag","The perfect stocking stuffers are by @DrSquatchSoapCo this year. Check them out on our #holidaygiftguidehttp://bit.ly/2gTf4Qh","","2","1","1481118333000","5:45 AM - 7 Dec 2016","/GCMagazine/status/806494860052152320"
"1554395284-251","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@FinancialReview","Financial Review","How @DrSquatchSoapCo's 31-year-old founder makes millions selling soap online.
http://bit.ly/2IbLPnj 
#ecommerce #marketing $AMZN","","1","1","1537829100000","3:45 PM - 24 Sep 2018","/FinancialReview/status/1044357057636438019"
"1554395284-282","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DianeLaneyFitzp","Diane Laney Fitzpatrick","Hey @DrSquatchSoapCo, best your-order-has-shipped email ever. I'd like to join in on the Bob Seger sing-along by the fire, IYDM #soapforXmas","","","2","1480430102000","6:35 AM - 29 Nov 2016","/DianeLaneyFitzp/status/803608209550254080"
"1554395284-381","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DrSquatchSoapCo","Dr. Squatch","There is a new review on Cool Fresh Aloe - Thanks Sylvia Briscoe . https://yotpo.com/go/zgx","","","","1354404756000","3:32 PM - 1 Dec 2012","/DrSquatchSoapCo/status/275019597864906753"
"1554395284-238","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DrSquatchSoapCo","Dr. Squatch","Come check us out at @NASCAR_Xfinity !https://twitter.com/joshbilicki/status/1092508630417588224 …","3","4","29","1549574107000","1:15 PM - 7 Feb 2019","/DrSquatchSoapCo/status/1093619188709482496"
"1554395284-228","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@Rolando21897","Rolando✭","Designs I made of @joshbilicki. @RyanSiegRacing @DrSquatchSoapCo pic.twitter.com/JIksWRc6dE","1","4","17","1550677590000","7:46 AM - 20 Feb 2019","/Rolando21897/status/1098247532252196864"
"1554395284-294","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@mattpossband","Matt Poss","Thank you @DrSquatchSoapCo for these awesome smelling soaps! Go check out http://www.drsquatch.com . #gettingsquatchypic.twitter.com/FNo2D4Chpm","2","2","2","1454088116000","9:21 AM - 29 Jan 2016","/mattpossband/status/693121912860356609"
"1554395284-354","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DrSquatchSoapCo","Dr. Squatch","So sweet opening up a Men's Journal and seeing our Gold Moss Scrub in there! #bespokepost #mensjournal… http://instagram.com/p/gBhQa6IQhv/","","","","1382990646000","1:04 PM - 28 Oct 2013","/DrSquatchSoapCo/status/394917511676039168"
"1554395284-225","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@ikeliveshow","Ike_Live","When you forget the essentials but @BrianStockl’s got your back. @DrSquatchSoapCo #RealFriendshippic.twitter.com/W507h6ktJN","","3","12","1552649076000","4:24 AM - 15 Mar 2019","/ikeliveshow/status/1106516542773174272"
"1554395284-351","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DrSquatchSoapCo","Dr. Squatch","Want some manly soap for a year? All you gotta do is show us your stache' @sasquatchsoapco! Enter at (https://a.pgtb.me/ZnhVhV )  #squatchmo","1","3","1","1384990055000","3:27 PM - 20 Nov 2013","/DrSquatchSoapCo/status/403303638107320320"
"1554395284-273","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@jeremiahdauer","Jeremiah Auer","Look closely into the dead of the winter.. there's a Squatch in there.. @DrSquatchSoapCo #menshealthpic.twitter.com/Ue7qTKvq74","","1","6","1493872697000","9:38 PM - 3 May 2017","/jeremiahdauer/status/859990540342919168"
"1554395284-254","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@BarbsBeans","Chris Barbee","Just went a little nuts buying all natural soaps because I wish to smell like I just fought off a pack of wolves in a lumberyard of pine and cedar. @DrSquatchSoapCo","","","2","1531694921000","3:48 PM - 15 Jul 2018","/BarbsBeans/status/1018628444912078849"
"1554395284-244","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@benandbikes","Ben & Bikes","30 percent of men have suffered from depression . 

 http://qoo.ly/u3qg7 

Join me as I talk with Will and Taylor of @go4graham about their efforts to raise awareness for mental health. Shout-out to @peopleforbikes @DrSquatchSoapCo @CheckInFDTN & @PrimalWear.pic.twitter.com/Qf50oopG1Y","1","3","10","1544886051000","7:00 AM - 15 Dec 2018","/benandbikes/status/1073956056403984384"
"1554395284-201","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@VaticanBank","Vatican Bank","do you guys also have shampoo? @DrSquatchSoapCo pic.twitter.com/vKR7qWaMNW","","","","1554241181000","2:39 PM - 2 Apr 2019","/VaticanBank/status/1113194314656473088"
"1554395284-390","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","null","null","null","null","null","null","null","null","null"
"1554395284-204","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@edb8032","Eric Barnes","The @DrSquatchSoapCo commercials on YouTube are hilarious! One of the few ads I won’t skip. #soapfordudes #drsquatch #soap #youtube","","","1","1554090613000","8:50 PM - 31 Mar 2019","/edb8032/status/1112562786729627648"
"1554395284-317","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@JoshMarunde","Josh Chachi Marunde","Post shower thoughts. @DrSquatchSoapCo is the real deal. Check it out. For real. #TourLife","2","3","10","1409095793000","4:29 PM - 26 Aug 2014","/JoshMarunde/status/504410431960936450"
"1554395284-386","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DrSquatchSoapCo","Dr. Squatch","Interesting new comic from http://SustainableMan.org , ""The Adventures of the Guy who Just Started Paying Attention""pic.twitter.com/XtNqfX7d","","","1","1346357304000","1:08 PM - 30 Aug 2012","/DrSquatchSoapCo/status/241266137126535168"
"1554395284-315","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@TitleBeard","TitleBeard","http://www.titlebeard.com/2014/10/beard-advice-vol-4-beard-soap-recommendations/ … New entry in #BeardAdvice. Beard soap recommendations @TheModCabin @CanYouHandlebar @DrSquatchSoapCo #beardsoap","","2","2","1413997861000","10:11 AM - 22 Oct 2014","/TitleBeard/status/524971198598627329"
"1554395284-324","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@birchbox","Birchbox","Ahahahahah @drsquatchsoapco's photo http://i.instagram.com/p/ph7Ev9IQjm/","","","3","1403405162000","7:46 PM - 21 Jun 2014","/birchbox/status/480542195506638848"
"1554395284-337","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DrSquatchSoapCo","Dr. Squatch","Squatch is tryin to help!  Retweet or share this video for your chance to win a gift box of natural soaps!https://www.youtube.com/watch?v=zeQMG65qJDg …","","44","14","1400358425000","1:27 PM - 17 May 2014","/DrSquatchSoapCo/status/467763256124526594"
"1554395284-271","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@joshua_fetzer","Mr. Fetzer","Finally got my awesome bar of citrus cedar soap from @DrSquatchSoapCo .
Got one for my dad too. The carpenter in him will appreciate it. pic.twitter.com/YT6yBgwjLj","1","1","3","1498519281000","4:21 PM - 26 Jun 2017","/joshua_fetzer/status/879479726322200576"
"1554395284-237","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@4judyblue","Judy","Thanks James!","1","1","8","1550022447000","5:47 PM - 12 Feb 2019","/4judyblue/status/1095499662465744896"
"1554395284-313","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@supercompressor","Supercompressor","@DrSquatchSoapCo It's been a great week in gear, here is the best of what we found: http://bit.ly/1tjEsz6 pic.twitter.com/8GJwDzoDXp","","2","3","1414166047000","8:54 AM - 24 Oct 2014","/supercompressor/status/525676619827257345"
"1554395284-358","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DrSquatchSoapCo","Dr. Squatch","Thanks @ALEXBEH Spent a good hour today watching your vids and laughing our butts off.","1","","1","1382219545000","2:52 PM - 19 Oct 2013","/DrSquatchSoapCo/status/391683278345760768"
"1554395284-323","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DrSquatchSoapCo","Dr. Squatch","Squatch Nation, check out @Fayettechill  Love everything these guys are putting out there. Let us know if you ever want to collab fellas.","","","2","1404175885000","5:51 PM - 30 Jun 2014","/DrSquatchSoapCo/status/483774845713674240"
"1554395284-305","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@tvcoffee","Twin Valley Coffee","Paddleboard, anyone??? @DrSquatchSoapCo and @tvcoffee will balance it for you!!!pic.twitter.com/syrM5NMjDE","1","1","4","1440603428000","8:37 AM - 26 Aug 2015","/tvcoffee/status/636563032626327552"
"1554395284-233","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@joshbilicki","Josh Bilicki","Really solid qualifying effort for us.  Rolling off P20 in our @DrSquatchSoapCo Camaro for this afternoons #NascarRacingExperience300 at @DISupdates! pic.twitter.com/MHdG9GzeAX","1","8","51","1550334284000","8:24 AM - 16 Feb 2019","/joshbilicki/status/1096807602527354880"
