name,content,published_date
Nick Stratton,"I've been using this soap for several years now and absolutely love it. 

Smell good. Be nice to your skin. Save 15% http://bit.ly/2HUkojG  #DrSquatch @DrSquatchSoapCo pic.twitter.com/NFgnFeAC33",10:37 AM - 28 Mar 2019
Ashley Heath,"Watched the 
@DrSquatchSoapCo commercial earlier and it's hilarious! https://www.youtube.com/watch?v=cjEK7qQKRDY … I think we'll have to get some, just because.",3:17 PM - 28 Mar 2019
Mike Falzone,"Dude, @DrSquatchSoapCo smells SO good. I just got the Gold Moss Scrub and I want to eat it. I want to wash my insides with it. #notsponsored",2:08 PM - 7 Jul 2017
MANE MAN,From my friends over at @DrSquatchSoapCo https://www.youtube.com/watch?v=zeQMG65qJDg … #lol,6:02 PM - 2 Jun 2014
Bryce Carey,"Time to open a new bar! Love, love, LOVE me some @drsquatchsoapco #natural #handmade… https://www.instagram.com/p/BWxoH4MAREt/",9:40 AM - 20 Jul 2017
Josh Bilicki,Love those race weekend vibes with @DrSquatchSoapCo and @RyanSiegRacing! pic.twitter.com/fPAbKvuLJr,5:30 PM - 19 Feb 2019
Toruu,Itzh ya go ol anime boi aye,11:29 AM - 30 Mar 2019
ribbedtee,@SMatthew74 Thanks for the mention in your Father's Day Gift Guide! In great company with @GrillGrate @DrSquatchSoapCo @American_Giant,2:05 PM - 9 Jun 2014
Dapper & Done,Bar soap with natural ingredients? Absolutely. Learn about @drsquatchsoapco:  http://ow.ly/MKNXN,11:25 AM - 18 May 2015
TitleBeard,Sponsor banner for #BluegrassBeardOn @TheModCabin @GrandpaBrandsCo @HonestAmish_com @CanYouHandlebar @DrSquatchSoapCo pic.twitter.com/VlcVKdLCDg,6:59 PM - 20 May 2014
Camerons Brewing Co.,Beer soap has been popping up all over the place lately but it's not just a novelty! Learn the benefits of beer soap from @DrSquatchSoapCo  at the link below. http://blog.drsquatch.com/the-wonderful-world-of-beer-soap/ …pic.twitter.com/7PBPvO0fbW,11:00 AM - 25 Feb 2018
Theresa B,Sooo @DrSquatchSoapCo is the best soap for men !!! @cmartrocks #backstageartistlounge,3:28 PM - 23 Oct 2014
Trever Bierschbach (Beard Wizard Man),"Can confirm, @DrSquatchSoapCo soap is good stuff. Not sure if I'm sold on the pine tar scent but that may get better. Soap itself is great, even in hard water my skin doesn't feel like it shrunk two sizes.",4:43 PM - 27 Mar 2019
Josiah Boyd,Quick sesh after the fight tonight! About to go clean up with the best @drsquatchsoapco!!! #nogi… https://www.instagram.com/p/BYSemUOBKne/,12:23 AM - 27 Aug 2017
Ground Control Mag,The perfect stocking stuffers are by @DrSquatchSoapCo this year. Check them out on our #holidaygiftguidehttp://bit.ly/2gTf4Qh,5:45 AM - 7 Dec 2016
Financial Review,"How @DrSquatchSoapCo's 31-year-old founder makes millions selling soap online.
http://bit.ly/2IbLPnj 
#ecommerce #marketing $AMZN",3:45 PM - 24 Sep 2018
Diane Laney Fitzpatrick,"Hey @DrSquatchSoapCo, best your-order-has-shipped email ever. I'd like to join in on the Bob Seger sing-along by the fire, IYDM #soapforXmas",6:35 AM - 29 Nov 2016
Rolando✭,Designs I made of @joshbilicki. @RyanSiegRacing @DrSquatchSoapCo pic.twitter.com/JIksWRc6dE,7:46 AM - 20 Feb 2019
Matt Poss,Thank you @DrSquatchSoapCo for these awesome smelling soaps! Go check out http://www.drsquatch.com . #gettingsquatchypic.twitter.com/FNo2D4Chpm,9:21 AM - 29 Jan 2016
Ike_Live,When you forget the essentials but @BrianStockl’s got your back. @DrSquatchSoapCo #RealFriendshippic.twitter.com/W507h6ktJN,4:24 AM - 15 Mar 2019
Jeremiah Auer,Look closely into the dead of the winter.. there's a Squatch in there.. @DrSquatchSoapCo #menshealthpic.twitter.com/Ue7qTKvq74,9:38 PM - 3 May 2017
Chris Barbee,Just went a little nuts buying all natural soaps because I wish to smell like I just fought off a pack of wolves in a lumberyard of pine and cedar. @DrSquatchSoapCo,3:48 PM - 15 Jul 2018
Ben & Bikes,"30 percent of men have suffered from depression . 

 http://qoo.ly/u3qg7 

Join me as I talk with Will and Taylor of @go4graham about their efforts to raise awareness for mental health. Shout-out to @peopleforbikes @DrSquatchSoapCo @CheckInFDTN & @PrimalWear.pic.twitter.com/Qf50oopG1Y",7:00 AM - 15 Dec 2018
Vatican Bank,do you guys also have shampoo? @DrSquatchSoapCo pic.twitter.com/vKR7qWaMNW,2:39 PM - 2 Apr 2019
,,
Eric Barnes,The @DrSquatchSoapCo commercials on YouTube are hilarious! One of the few ads I won’t skip. #soapfordudes #drsquatch #soap #youtube,8:50 PM - 31 Mar 2019
Josh Chachi Marunde,Post shower thoughts. @DrSquatchSoapCo is the real deal. Check it out. For real. #TourLife,4:29 PM - 26 Aug 2014
TitleBeard,http://www.titlebeard.com/2014/10/beard-advice-vol-4-beard-soap-recommendations/ … New entry in #BeardAdvice. Beard soap recommendations @TheModCabin @CanYouHandlebar @DrSquatchSoapCo #beardsoap,10:11 AM - 22 Oct 2014
Birchbox,Ahahahahah @drsquatchsoapco's photo http://i.instagram.com/p/ph7Ev9IQjm/,7:46 PM - 21 Jun 2014
Mr. Fetzer,"Finally got my awesome bar of citrus cedar soap from @DrSquatchSoapCo .
Got one for my dad too. The carpenter in him will appreciate it. pic.twitter.com/YT6yBgwjLj",4:21 PM - 26 Jun 2017
Judy,Thanks James!,5:47 PM - 12 Feb 2019
Supercompressor,"@DrSquatchSoapCo It's been a great week in gear, here is the best of what we found: http://bit.ly/1tjEsz6 pic.twitter.com/8GJwDzoDXp",8:54 AM - 24 Oct 2014
Twin Valley Coffee,"Paddleboard, anyone??? @DrSquatchSoapCo and @tvcoffee will balance it for you!!!pic.twitter.com/syrM5NMjDE",8:37 AM - 26 Aug 2015
Josh Bilicki,Really solid qualifying effort for us.  Rolling off P20 in our @DrSquatchSoapCo Camaro for this afternoons #NascarRacingExperience300 at @DISupdates! pic.twitter.com/MHdG9GzeAX,8:24 AM - 16 Feb 2019
HOLSTEE,Thanks @DrSquatchSoapCo for hooking us up! #squeekycleanpic.twitter.com/aH4tHCQCAk,1:03 PM - 30 Jul 2014
Misty Shallcross,Win a new @mhmgear backpack filled with a years supply of soap from @DrSquatchSoapCo https://wn.nr/E6nNP3,7:22 AM - 8 Feb 2017
Barbara Moon,Branching Out:http://www.readingstyle.net/  @MargiPreus @gBrianKaras @lorenlong @DrSquatchSoapCo @arborday @JillMcElmurrypic.twitter.com/V1BPbSaC6C,5:19 PM - 1 Jun 2016
Bethany Watson 🏳️‍🌈,"Today's very manly #WhatsTrending features @Bonobos + @DrSquatchSoapCo!
http://elvisduran.iheart.com/articles/whats-trending-461825/whatstrending-ooh-sooo-maaanly-bonobos-dr-14496327/ …pic.twitter.com/3hjypZtcF5",5:47 AM - 16 Mar 2016
Alabama Soda & Abrasive Blasting,Looks like everyone had a blast!,1:34 PM - 17 Feb 2019
Craig Ashley,I'm pretty sure @DrSquatchSoapCo keeps sneaking in and adding more soap to my bar. That thing is lasting forever.,7:23 PM - 29 Sep 2015
Noah,"Just got a bar of soap that smells like Christmas so I’ll be fa lalalaing in the shower for the next hour, thanks @DrSquatchSoapCo",3:43 PM - 27 Oct 2017
Dad Gear Reviews,@DrSquatchSoapCo makes some awesome #manly #manscaping products. Check out our review of their soap at http://awesomedadgear.com/dr-squatch-mens-soap/ … #clean #wild,6:53 AM - 7 Jul 2017
