,VisitorGroup,PlatformUsed,VisitSource,BrowserName,OSName,State,Gender,IncomeRange,ViewedProductInVisit,ViewedSaleInVisit,TotalPageViews,PlacedSearch,SecondsOnSite,ClickedBanner,b_effective
102,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,iOS,mid_west,Female,Under50k,1,1,14,1,623,1,1
113,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Windows,eastern,Female,50to100k,1,1,29,1,1119,1,1
154,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,,Unknown,,1,1,19,0,542,1,1
237,Prior Visitor with Purchase,Phone,EmailFromWayfair,Chrome,Android,eastern,Male,Under50k,1,1,24,0,725,1,1
245,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Windows,,Female,,1,1,75,1,2601,1,1
453,New Visitor,Web,ThirdPartyAds,Chrome,Windows,,Female,,1,0,50,1,1919,1,1
458,Prior Visitor with Purchase,Web,WebSearch,Safari,Mac OS X,eastern,Female,50to100k,1,1,47,0,9876,1,1
508,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,,Unknown,,1,1,13,0,228,1,1
737,New Visitor,Web,ThirdPartyAds,Chrome,Windows,eastern,Unknown,50to100k,1,0,97,1,4123,1,1
853,Prior Visitor with Purchase,Phone,EmailFromWayfair,Chrome,Android,,Unknown,,1,1,116,1,4805,1,1
1007,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,eastern,Female,100to250k,1,0,29,1,3726,1,1
1043,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Mac OS X,west_coast,Male,100to250k,1,1,19,0,3055,1,1
1126,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Windows,eastern,Female,50to100k,1,0,134,1,4111,1,1
1191,Prior Visitor,Web,ThirdPartyAds,Safari,iOS,eastern,Female,50to100k,1,0,29,0,1020,1,1
1288,New Visitor,Phone,EmailFromWayfair,Safari,iOS,eastern,Female,Under50k,1,1,32,1,13148,1,1
1362,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,Mac OS X,eastern,Female,100to250k,1,1,43,1,2000,1,1
1676,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,mid_west,Male,50to100k,1,1,63,1,1340,1,1
1889,Prior Visitor with Purchase,Web,ThirdPartyAds,Safari,iOS,eastern,Male,100to250k,1,1,37,1,9212,1,1
1990,Prior Visitor with Purchase,Phone,ThirdPartyAds,Safari,iOS,,Unknown,,1,1,134,0,13323,1,1
2093,Prior Visitor,Web,WebSearch,Safari,Mac OS X,,,,1,0,39,0,6564,1,1
2139,Prior Visitor with Purchase,Web,WebSearch,Microsoft Edge,Windows,south_west,Female,Under50k,1,1,171,1,6214,1,1
2234,Prior Visitor with Purchase,Phone,WebSearch,Chrome,Android,west_coast,Female,100to250k,1,1,298,1,12312,1,1
2340,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Windows,mid_west,Male,Under50k,1,0,103,1,5016,1,1
2437,Prior Visitor with Purchase,Web,WebSearch,Safari,iOS,eastern,Unknown,,1,0,46,1,3191,1,1
2479,Prior Visitor with Purchase,Web,WebSearch,Chrome,Mac OS X,eastern,Female,,1,1,18,1,277,1,1
2535,Prior Visitor with Purchase,Phone,EmailFromWayfair,Chrome,Android,eastern,Female,50to100k,1,0,59,1,2976,1,1
2712,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,iOS,mid_west,Female,Under50k,1,0,12,0,327,1,1
2839,New Visitor,Web,ThirdPartyAds,Safari,iOS,,,,1,1,18,1,454,1,1
2901,Prior Visitor,Phone,ThirdPartyAds,Safari,iOS,,,,1,0,16,1,9297,1,1
2941,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,Windows,,Unknown,,1,1,32,0,4792,1,1
2957,Prior Visitor with Purchase,Web,WebSearch,Safari,iOS,eastern,Female,Under50k,1,1,43,1,2419,1,1
3228,Prior Visitor with Purchase,Web,ThirdPartyAds,Safari,iOS,eastern,Female,,1,0,29,1,1199,1,1
3286,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,eastern,Female,Under50k,1,1,123,0,13222,1,1
3375,Prior Visitor with Purchase,Phone,WebSearch,Safari,iOS,west_coast,Female,Under50k,1,1,148,0,5945,1,1
3410,Prior Visitor with Purchase,Phone,WebSearch,Safari,iOS,,Unknown,,1,1,294,1,20853,1,1
3650,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,iOS,west_coast,Female,100to250k,1,1,21,0,1466,1,1
3653,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,south_west,Unknown,100to250k,1,1,42,1,1147,1,1
3667,Prior Visitor,Web,ThirdPartyAds,Safari,iOS,,,,1,1,8,0,383,1,1
3707,Prior Visitor,Web,ThirdPartyAds,Safari,iOS,eastern,Female,50to100k,1,1,24,0,1155,1,1
3808,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,iOS,,Unknown,,1,1,54,1,3158,1,1
3865,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,Windows,,Unknown,,1,1,16,1,1082,1,1
3968,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,south_west,Female,50to100k,1,1,25,1,1381,1,1
4015,Prior Visitor with Purchase,Phone,ThirdPartyAds,Chrome,Android,,Unknown,,1,0,23,0,3070,1,1
4203,New Visitor,Phone,WebSearch,Chrome,Android,west_coast,Female,50to100k,1,1,52,1,3356,1,1
4217,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,iOS,west_coast,Unknown,50to100k,1,1,41,0,2053,1,1
4287,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,Windows,eastern,Female,100to250k,1,1,46,1,5040,1,1
4516,Prior Visitor,Web,ThirdPartyAds,Chrome,Mac OS X,mid_west,Female,50to100k,1,1,16,0,2626,1,1
4841,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,Windows,,Unknown,,1,1,121,0,8399,1,1
5165,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,Windows,mid_west,Female,50to100k,1,1,54,1,3543,1,1
5462,Prior Visitor,Phone,WebSearch,Safari,iOS,,Unknown,,1,1,27,1,8204,1,1
5472,Prior Visitor with Purchase,Web,ThirdPartyAds,Safari,iOS,eastern,Female,100to250k,1,1,11,0,7680,1,1
5520,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,eastern,Female,50to100k,1,1,478,1,26374,1,1
5684,Prior Visitor with Purchase,Phone,EmailFromWayfair,Chrome,Android,,Unknown,,1,1,9,0,297,1,1
5760,Prior Visitor with Purchase,Phone,WebSearch,Safari,iOS,eastern,Female,50to100k,1,1,109,1,20043,1,1
5805,Prior Visitor with Purchase,Web,WebSearch,Safari,Mac OS X,,Unknown,,1,1,254,1,13475,1,1
5938,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,eastern,Female,100to250k,1,0,21,1,11715,1,1
5966,Prior Visitor with Purchase,Phone,WebSearch,Chrome,Android,west_coast,Female,100to250k,1,0,94,1,11958,1,1
6053,Prior Visitor,Web,ThirdPartyAds,Chrome,Mac OS X,,Unknown,,1,1,40,1,2872,1,1
6207,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,west_coast,Female,100to250k,1,0,60,1,2932,1,1
6268,Prior Visitor with Purchase,Phone,EmailFromWayfair,Chrome,Android,west_coast,Unknown,Under50k,1,1,31,1,1003,1,1
6281,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,south_west,Female,,1,1,16,0,667,1,1
6375,Prior Visitor with Purchase,Phone,WebSearch,Chrome,Android,,Unknown,,1,1,57,1,2758,1,1
6452,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,Mac OS X,eastern,Female,50to100k,1,1,111,1,8682,1,1
6596,Prior Visitor with Purchase,Web,WebSearch,Chrome,Chrome OS,eastern,Male,100to250k,1,1,86,1,7972,1,1
6668,Prior Visitor with Purchase,Phone,WebSearch,Chrome,Android,eastern,Male,50to100k,1,1,116,1,4394,1,1
6821,Prior Visitor,Phone,ThirdPartyAds,Safari,iOS,,Female,,1,1,20,0,634,1,1
6835,Prior Visitor,Phone,WebSearch,Safari,iOS,eastern,Female,100to250k,1,1,101,1,2886,1,1
7130,Prior Visitor with Purchase,Web,ThirdPartyAds,Safari,Mac OS X,west_coast,Unknown,50to100k,1,1,28,0,2103,1,1
